form,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
sblc,0.01205214323582675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005827740575875558,0.0055899039363640326,0.0,0.00571641427477065,0.0,0.0,0.0,0.009472230888564463,0.013887831539333935,0.008811287461294453,0.0,0.008311586600505776,0.016618279565615866,0.0122515370799734,0.01913191233424927,0.03113762230117658,0.026540871974800453,0.027276285760816824,0.04338786167090817,0.052456636760087764,0.03371885139520135,0.03152111693996699,0.0358255710834835,0.03129326109531981,0.032621237077164446,0.02208577993380288,0.023248945106258433,0.0391774540372367,0.037636947845535076,0.013825915313812281,0.027219873744098486,0.018963675969098398,0.020075815004373047,0.00996464226686499,0.028034967778574775,0.024639570008410806,0.029169587822687835,0.029094738431540566,0.02632316243850384,0.03392493778512404,0.027798564337250916,0.02896632419489574,0.013877027104996364,0.019695115094132975,0.013664744189571119,0.02300402387315537,0.02615800416877531
tcroit,0.01640455777000678,0.030428846959053752,0.0,0.0,0.013879113355604312,0.0,0.0,0.0,0.0,0.010068852420887658,0.0,0.00877453490634081,0.048879251979458256,0.023796972474084223,0.015217194196677115,0.04537414762531178,0.046684766206066645,0.007950967316220102,0.028482525087758236,0.01353421351934265,0.03867886958737406,0.031505286422125946,0.03597997584958816,0.0360252193720226,0.03393949936051971,0.04523934404660565,0.04446922429583222,0.035806454762484084,0.04238241397114155,0.022989037290282933,0.014279471254425349,0.030934413047553653,0.022848130130895268,0.027537484486903047,0.014301466931339445,0.01896351763093797,0.02738202358728666,0.01567122688638069,0.020041107805772628,0.006328976608137209,0.009695579306141377,0.010245770783464456,0.004704723924422736,0.0,0.004302011018283752,0.013662917066908515,0.0045210644703235015,0.0,0.005589617848073619,0.0,0.008486095580043047,0.005971549768676019,0.0030784212171525134,0.012612505114113584,0.015164227172072007,0.0031480775986679624,0.002978627922820915,0.01239968034918047,0.005693002347997366,0.002967041367236932
salopeeeee,0.01259270204370846,0.02335822816202681,0.0,0.010304002570245902,0.010654084161752295,0.010650280837504404,0.0,0.0,0.03244853177525909,0.0,0.006913201241597449,0.006735634400928045,0.01876069641517713,0.018267373501306552,0.017521861468008826,0.040635880048352134,0.06570085531116378,0.06103435629059487,0.03826228811496173,0.03636264520023683,0.02474269076771425,0.02902144808371961,0.04603244230109497,0.03226322850636739,0.02605312553692094,0.021704546543510905,0.03413610409517457,0.0074962539910134445,0.02602735744611159,0.012605124786789063,0.019730542747053104,0.034540098993227054,0.015346633335051334,0.016441225896350352,0.006586978364643818,0.016636625752778935,0.0046709737517641025,0.016039696089855924,0.026922424842769948,0.007287509768802459,0.018606649300631148,0.01573001119483978,0.014446030769932245,0.003555091333339122,0.00990711429741438,0.017480207440281285,0.010411573160345591,0.00901304093343864,0.008581565329079499,0.006530977004339609,0.006514218466120178,0.0,0.0023631018705977534,0.009681792167367635,0.004656232668463616,0.009666290007031985,0.006859491329854699,0.007138815425427587,0.004370144157957015,0.0
kecho,0.0068674154396287145,0.0,0.0028755552105120333,0.0028096379194580633,0.0029050962142027543,0.005808118289942514,0.005227688379836324,0.004852041976133656,0.01990774027288962,0.0084302172047541,0.015080425083995853,0.01469308160236765,0.01364149867890019,0.02158453035014278,0.028666580427008096,0.01741200214821573,0.022800836014978468,0.02496376150743866,0.03129944160246668,0.02266323010691607,0.03373349421085008,0.036929230377780495,0.04644191708715108,0.02764883661398764,0.028416083528669922,0.031958682999038784,0.02908763240137701,0.023847094897376866,0.025430897255621688,0.028871598706209565,0.02271561589172124,0.024722778787222913,0.022118781490540217,0.019213293116995336,0.019757105520852573,0.01984667243003664,0.015920688203783756,0.024054881512186793,0.024644975613653693,0.017221684964226325,0.01319124897233456,0.010722929178546139,0.008862891872391554,0.006785677259330851,0.009905194346864347,0.00667296758333876,0.00567793933533941,0.00614406426133407,0.005264940025311365,0.010684982180898242,0.013025912084549776,0.006874617563660484,0.009021004031272668,0.014519873824725228,0.011426719859737295,0.013178750082351486,0.013716323987616528,0.012977149014055308,0.010128825432242647,0.0161471450650285
caley,0.0063890937638308816,0.0,0.0,0.0,0.0054055072883416565,0.0,0.019454300687345164,0.0045140928787668075,0.004115810715031473,0.0039215224886370225,0.014030059883094222,0.010252271418090526,0.02538271199838189,0.043251704148200135,0.038523228263909165,0.04712506328162992,0.06666860273350404,0.04954669443328884,0.041599153258432574,0.0368982524765289,0.030128568893767547,0.06626007551549758,0.03970390956065788,0.04443075765376498,0.055076828533465606,0.05726303925323719,0.028144118687816296,0.02789112636076688,0.037415200906352544,0.02558158650559702,0.013347443853818235,0.01204804593094569,0.008898676074121264,0.007150027972857659,0.01114000321931466,0.011606152677485868,0.011849438335326931,0.010172471514229295,0.008781101175324782,0.007394851884226852,0.009440358915809105,0.007980853996315481,0.003664703761906143,0.007214912824538536,0.003351014047949809,0.007095073572583735,0.001760821914141079,0.0011432249294295793,0.007619472321416052,0.005522646411299347,0.0033050851543743524,0.0,0.002397909419650959,0.0012280501385749161,0.0023624085602731862,0.0012260838259522836,0.0,0.0,0.003325885980196969,0.0
mddd,0.004357774228657661,0.0,0.0,0.0,0.0,0.0,0.0,0.006157805266286203,0.005614496993464995,0.008024194167329282,0.016746460825098584,0.009323614234385606,0.021640809379369932,0.014750226608784302,0.01616943233276347,0.012053375283935507,0.024803066793506284,0.01900914907574379,0.030264860664872856,0.03775048379356769,0.044524194328161244,0.04519364719687794,0.03823147535052279,0.04784943756550315,0.04808441742279424,0.03455050083144258,0.026579222385862772,0.029400028671746226,0.033025340613304636,0.027917268400938278,0.02503549951453656,0.01867623812059099,0.01896709782834618,0.018694325102511792,0.017475862411905737,0.02374843517783415,0.018588787626874177,0.027753127967796713,0.0206297340833544,0.01092816002918619,0.01931680187203484,0.009526050488292925,0.007498693335683888,0.011072331263980545,0.004571215636462838,0.013308069539562655,0.0012009941694921661,0.0070177785571205135,0.007424245428583122,0.012053763914446031,0.009017125396272599,0.005552074684470618,0.01063093823258304,0.01591457934736533,0.010473548032538011,0.005853878010695593,0.011868824671300833,0.008234755277592154,0.015123125696902114,0.011822656166763236
mddddddrr,0.0018743224827677079,0.0,0.0,0.0015336679620365733,0.0,0.0015852086988350528,0.0042803761980185935,0.006621334797019102,0.007244554714477273,0.006902573077335202,0.011318718823850297,0.01403563058139601,0.018615859122898037,0.02175161374311728,0.020863905951516236,0.025921389111137377,0.029337132686693718,0.025436525401370053,0.025220865055901355,0.03479327656583983,0.03682750646297126,0.03959641841274369,0.043164821960030075,0.02949875090790913,0.031668686351898435,0.024552159466571973,0.02794486595224922,0.02975352410334704,0.03809396906341507,0.0352720243546161,0.027409505196207808,0.030524783164851743,0.022515912627604516,0.022723483017187875,0.015686700566094593,0.024762280229911372,0.01425235643023331,0.019695883685044636,0.02175329837794191,0.012293122214542866,0.013847250968099857,0.011121107232437026,0.011288421727560975,0.009524641863386838,0.011305223217342905,0.00936643815617591,0.0098146335384301,0.010061390240760467,0.011495673208199792,0.009072778708206334,0.009695890593083498,0.011598872244554838,0.009848404146562963,0.00972713437680942,0.007623470879980879,0.008992184829677216,0.006806534332489487,0.009208812568578608,0.00715506915175199,0.007119060496328524
ptddddddddddddddddddddr,0.004346161299545137,0.004030851635787999,0.0,0.0,0.0,0.0036757669834946226,0.0,0.00614139547718427,0.008399302580526262,0.0026676035609142306,0.011929881127938581,0.027896303868310067,0.02589976716010537,0.025218718422828416,0.03830006414124257,0.026046051482147062,0.03710545453424356,0.0294909876264014,0.02829769552125676,0.053785547750413894,0.034158109891904966,0.033387564236392595,0.042895792349172755,0.03499607813901425,0.02847404030004896,0.04644396820331311,0.03387183428223973,0.03449609556839146,0.04042308947761177,0.029583051855914075,0.024968783006084374,0.024586938099099936,0.026483174003324183,0.0340464911151446,0.017429291400944433,0.022967416762749153,0.008866598212484525,0.011763646959206875,0.01991105651093352,0.010899037834898406,0.0051374199960533195,0.00542895128139563,0.004985806830527383,0.006134902706217214,0.00455903391240857,0.008446203296940527,0.005988968343174182,0.007776752272896486,0.009625798953096247,0.007513526328175014,0.005995397248547125,0.007119358833110755,0.003262340953109731,0.003341509255281371,0.004017552816526971,0.0025021192071958,0.0015782927629512597,0.0073915296063303436,0.004524847331451506,0.0007860766833965872
sdeh,0.007706186923829101,0.0,0.0,0.006305602212640486,0.0065198369474397345,0.0,0.005866187095960231,0.01633398012354963,0.019857092655415156,0.02837959789650973,0.016922316060488142,0.01648766327161957,0.022961463376924254,0.033536518450097745,0.025019443134621892,0.017762424525161115,0.02193058416588214,0.03361533855454875,0.043484738373638275,0.044504720271358086,0.04239606704737011,0.050319620976638016,0.03943779859015933,0.05076950168574534,0.03985845425402697,0.05578540865645276,0.03916840058863684,0.022936909919230253,0.021236816998383104,0.015427578206492957,0.010732653810270991,0.011889585554045084,0.01341639044139393,0.01293597827160636,0.013436482592583388,0.008908281079330577,0.005716866280557704,0.008588647921686217,0.009414488648652582,0.013378918748184076,0.015941046159494456,0.00481304195718355,0.0,0.004351123095092009,0.006062723821037194,0.002139425605951143,0.00637143074347823,0.006894487174408971,0.007877318104017785,0.009325573545478269,0.00664403146472472,0.0042077829272395085,0.005784462991872279,0.0074060455750912324,0.014247061186501825,0.007394187263740041,0.011193895682704664,0.007281075167203038,0.009360184714084273,0.009756558509566129
mchanger,0.010831284476190929,0.010045485599696606,0.0,0.0,0.0,0.009160561498393366,0.02473532313254643,0.007652638375517374,0.0,0.0,0.01189241975693519,0.0,0.02151536544885932,0.005237401746364069,0.025118287488219104,0.039945020783024476,0.04623617325487009,0.03674797763474757,0.04231325564149363,0.03574443611214735,0.06384534188484937,0.016641361481421053,0.03959360556347868,0.027750375166496567,0.026143736433397718,0.02240232006349558,0.02936128029396436,0.03008930169259423,0.01865562765930155,0.03252590872468326,0.02451325085907151,0.007427191494186748,0.005657145730466417,0.008080852553785748,0.007554157030353684,0.008943475039492313,0.01004404084813847,0.02241870567722779,0.019848533216105482,0.008357548804055781,0.009602414685474667,0.01352975917905567,0.012425376879231283,0.015289095793970342,0.017042692334175567,0.0030070289733109368,0.011940324414671018,0.011628498396148603,0.011071814651969342,0.016852348986563837,0.016809105726881424,0.013799728298242555,0.0020325604876398336,0.012491311813794845,0.010012342951578894,0.012471311144993807,0.00786668359686862,0.010233776731348655,0.009397164010651183,0.025467269777857186
