form,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,period,nbOcc,nbOcc_period,nbUsers_period,propagation_start,propagation_end_ex,type
ptddddddddrrr,9.816047274083672e-06,0.0,0.0,0.0,8.304889088206227e-06,0.0,0.0,0.0,0.0,0.0,1.0777720296602862e-05,5.250446287934474e-06,2.924803306977606e-05,2.8478939824000152e-05,4.097502344681897e-05,4.5251121096525166e-05,3.724654887445585e-05,5.233410090014654e-05,4.2607947234318144e-05,5.66895719532392e-05,5.014619544672545e-05,5.655575454802526e-05,6.458835687220117e-05,5.7484066135418086e-05,4.7386467101945214e-05,4.737251717253748e-05,4.3239935073574415e-05,5.648573053579637e-05,7.270009856780806e-05,5.895438502715832e-05,3.93044815653437e-05,4.206891561480354e-05,2.9052379731692727e-05,4.5771366531610624e-05,3.423045654871422e-05,2.593659475205426e-05,2.5487261830640785e-05,2.969459886504117e-05,3.297816845248445e-05,1.3254814337922025e-05,3.19086600103268e-05,2.1457780284591474e-05,1.1260722319033154e-05,8.313611599150903e-06,2.316787182503624e-05,1.3625871715142975e-05,1.6231702137444643e-05,2.1077073588846014e-05,2.006806418435861e-05,2.71515480624825e-05,2.2004025043965736e-05,2.5012506253126565e-05,2.5788625374165323e-05,1.6980715567354007e-05,1.270341340718251e-05,5.6511755386983086e-06,8.911655197366427e-06,1.4839272133701842e-05,1.5329429438636295e-05,1.7753979554517145e-05,2012-03 - 2017-02,931,706,558,5,25,buzz
ptaaaain,9.816047274083672e-06,0.0,8.220439300276207e-06,8.031999485952032e-06,8.304889088206227e-06,0.0,1.4944555698359088e-05,0.0,1.897029252191069e-05,3.012465582580719e-05,3.772202103811002e-05,1.5751338863803424e-05,1.949868871318404e-05,3.7971919765333536e-05,4.097502344681897e-05,4.072600898687265e-05,4.1902367483762834e-05,6.66070375092774e-05,4.2607947234318144e-05,5.264031681372212e-05,0.0001002923908934,6.409652182109529e-05,6.81765989206568e-05,3.2334787201172675e-05,2.0308485900833664e-05,2.3686258586268737e-05,5.321838162901466e-05,4.674681147790044e-05,2.874189943378458e-05,3.1442338681151105e-05,3.588670055966164e-05,2.692410599347427e-05,1.8798598649918824e-05,2.92936745802308e-05,2.2249796756664243e-05,2.4315557580050863e-05,7.28207480875451e-06,1.5628736244758512e-05,2.6982137824760007e-05,1.893544905417432e-05,1.1603149094664292e-05,2.1457780284591474e-05,8.445541739274865e-06,1.1084815465534538e-05,7.722623941678744e-06,2.725174343028596e-06,2.705283689574108e-06,1.0538536794423009e-05,6.689354728119539e-06,5.0909152617154684e-06,1.0155703866445724e-05,1.0719645537054242e-05,1.1052268017499425e-05,9.433730870752227e-06,1.0888640063299294e-05,5.6511755386983086e-06,5.346993118419857e-06,7.419636066850921e-06,1.021961962575753e-05,8.876989777258572e-06,2012-03 - 2017-02,624,532,394,4,21,buzz
feeu,1.9632094548167345e-05,0.0,0.0,0.0,0.0,8.301924386072691e-06,7.472277849179544e-06,0.0,1.2646861681273793e-05,0.0,1.0777720296602862e-05,5.250446287934474e-06,3.412270524807207e-05,2.373244985333346e-05,5.918614497873851e-05,5.43013453158302e-05,6.052564192099076e-05,4.757645536376958e-05,5.112953668118177e-05,5.66895719532392e-05,3.857399649748112e-05,6.409652182109529e-05,4.305890458146745e-05,5.7484066135418086e-05,3.723222415152839e-05,4.060501471931784e-05,3.9913786221761e-05,5.843351434737556e-05,3.381399933386421e-05,2.554690017843527e-05,1.879779553125133e-05,1.682756624592142e-05,2.0507562163547808e-05,2.7462819918966373e-05,1.1980659792049977e-05,1.945244606404069e-05,1.8205187021886275e-05,1.406586262028266e-05,2.098610719703556e-05,2.082899395959175e-05,8.702361820998219e-06,1.8392383101078407e-05,1.970626405830802e-05,1.1084815465534538e-05,1.0296831922238324e-05,1.6351046058171572e-05,1.6231702137444643e-05,1.580780519163451e-05,1.5051048138268962e-05,1.1878802277336094e-05,1.184832117752001e-05,1.2506253126563282e-05,1.1052268017499425e-05,1.6980715567354007e-05,9.073866719416078e-06,3.767450359132205e-06,3.564662078946571e-06,5.564727050138191e-06,6.813079750505019e-06,5.326193866355144e-06,2012-03 - 2017-02,549,493,425,5,22,buzz
jmenbrouille,9.816047274083672e-06,0.0,8.220439300276207e-06,0.0,0.0,8.301924386072691e-06,0.0,0.0,2.5293723362547585e-05,6.024931165161438e-06,1.0777720296602862e-05,1.5751338863803424e-05,3.412270524807207e-05,3.3225429794666844e-05,3.18694626808592e-05,4.977623320617768e-05,3.724654887445585e-05,6.66070375092774e-05,4.2607947234318144e-05,6.478808223227338e-05,1.928699824874056e-05,6.409652182109529e-05,7.176484096911241e-05,6.107682026888172e-05,4.7386467101945214e-05,5.7523770852366935e-05,5.321838162901466e-05,2.142562192737104e-05,4.057679920063706e-05,2.947719251357916e-05,2.0506686034092364e-05,3.533788911643498e-05,2.9052379731692727e-05,2.0139401273908675e-05,2.053827392922853e-05,2.755763192405765e-05,1.8205187021886275e-05,2.188023074266192e-05,1.948709954010445e-05,2.082899395959175e-05,5.801574547332146e-06,1.532698591756534e-05,2.252144463806631e-05,8.313611599150903e-06,1.8019455863917068e-05,1.3625871715142975e-05,1.6231702137444643e-05,7.0256911962820045e-06,5.017016046089654e-06,6.787887015620625e-06,1.0155703866445724e-05,7.146430358036161e-06,1.1052268017499425e-05,1.886746174150445e-05,9.073866719416078e-06,7.53490071826441e-06,1.2476317276313e-05,1.8549090167127303e-05,3.4065398752525097e-06,8.876989777258572e-06,2012-03 - 2017-02,575,508,476,5,22,buzz
jnoune,9.816047274083672e-06,9.103902843148855e-06,8.220439300276207e-06,8.031999485952032e-06,8.304889088206227e-06,1.6603848772145382e-05,1.4944555698359088e-05,0.0,2.5293723362547585e-05,1.807479349548432e-05,4.311088118641145e-05,6.825580174314817e-05,8.774409920932818e-05,7.119734956000037e-05,5.463336459575863e-05,4.5251121096525166e-05,4.1902367483762834e-05,8.087997411840829e-05,6.817271557490903e-05,8.908361306937589e-05,9.257759159395468e-05,0.000113111509096,0.0001040590194052,0.0001041898698704,8.800343890361254e-05,7.444252698541603e-05,6.319682818445492e-05,5.0642379101058814e-05,7.270009856780806e-05,5.109380035687054e-05,2.905113854829752e-05,4.543442886398783e-05,3.930616081346664e-05,4.5771366531610624e-05,2.738436523897137e-05,3.7283854956078e-05,2.5487261830640785e-05,3.2820346113992875e-05,5.3964275649520015e-05,1.893544905417432e-05,2.610708546299466e-05,1.532698591756534e-05,2.252144463806631e-05,1.1084815465534538e-05,7.722623941678744e-06,1.3625871715142975e-05,1.6231702137444643e-05,1.4051382392564007e-05,1.0034032092179307e-05,2.036366104686188e-05,6.770469244297149e-06,2.1439291074108483e-05,1.6578402026249137e-05,1.6980715567354007e-05,1.4518186751065726e-05,1.1302351077396615e-05,1.7823310394732854e-05,1.4839272133701842e-05,6.813079750505019e-06,1.2427785688162e-05,2012-03 - 2017-02,1013,898,674,4,21,buzz
billay,1.9632094548167345e-05,1.8207805686297714e-05,8.220439300276207e-06,2.40959984578561e-05,1.6609778176412454e-05,1.6603848772145382e-05,2.241683354753863e-05,1.3870683616642048e-05,1.897029252191069e-05,5.422438048645294e-05,0.000107777202966,0.0002205187440932,0.0002437336089148,0.0002325780085626,0.0002367445799149,0.0002488811660308,0.0003305631212607,0.0003330351875463,0.0003152988095339,0.0002348567980919,0.0003278789702285,0.0003883495145631,0.0003408829946032,0.0003089768554778,0.0003012425408623,0.0002470138395425,0.0002095473776642,0.0001675094077958,0.0002738933946043,0.0002161660784329,0.0001982312983295,0.0001396687998411,0.0001572246432538,0.000131821535611,0.0001489024859869,0.0001183357135562,9.648749121599728e-05,0.0001390957525783,0.0001394077120945,7.763534112211471e-05,6.0916532746987534e-05,7.356953240431363e-05,7.882505623323208e-05,6.650889279320722e-05,5.663257557231079e-05,6.540418423268629e-05,5.1400390101908034e-05,6.850048916374954e-05,5.685951518901608e-05,6.787887015620625e-05,6.939730975404578e-05,8.754377188594297e-05,8.473405480082892e-05,9.245056253337182e-05,7.077616041144541e-05,6.404665610524749e-05,6.416391742103828e-05,9.83101778857747e-05,0.0001175256256962,8.166830595077886e-05,2012-03 - 2017-02,5758,4314,2048,4,21,buzz
mddrrrrrrrrrrrrr,9.816047274083672e-06,0.0,0.0,8.031999485952032e-06,0.0,0.0,7.472277849179544e-06,0.0,1.2646861681273793e-05,6.024931165161438e-06,2.694430074150716e-05,0.0,4.87467217829601e-06,1.4239469912000076e-05,1.8211121531919543e-05,2.2625560548262583e-05,2.3279093046534906e-05,2.378822768188479e-05,1.2782384170295443e-05,3.239404111613669e-05,3.0859197197984894e-05,1.1311150909605052e-05,1.0764726145366864e-05,1.7963770667318153e-05,2.0308485900833664e-05,1.353500490643928e-05,2.328304196269392e-05,2.142562192737104e-05,3.719539926725064e-05,1.7686315508147498e-05,2.905113854829752e-05,1.5144809621329278e-05,1.8798598649918824e-05,2.1970255935173097e-05,1.0269136964614266e-05,1.945244606404069e-05,9.102593510943138e-06,1.0940115371330958e-05,1.3491068912380004e-05,1.1361269432504592e-05,5.801574547332146e-06,0.0,2.815180579758289e-06,5.542407732767269e-06,5.148415961119163e-06,0.0,1.0821134758296427e-05,5.269268397211503e-06,1.3378709456239078e-05,5.0909152617154684e-06,8.463086555371437e-06,7.146430358036161e-06,7.36817867833295e-06,1.886746174150445e-05,5.444320031649647e-06,3.767450359132205e-06,5.346993118419857e-06,1.8549090167127305e-06,5.109809812878765e-06,5.326193866355144e-06,2012-03 - 2017-02,353,291,263,3,22,buzz
jmambiance,9.816047274083672e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.323430840636896e-06,1.807479349548432e-05,0.0,0.0,4.87467217829601e-06,4.746489970666692e-06,4.552780382979886e-06,9.050224219305034e-06,9.311637218613964e-06,0.0,2.98255630640227e-05,2.83447859766196e-05,2.314439789848867e-05,3.393345272881516e-05,3.5882420484556204e-05,2.8742033067709043e-05,2.707798120111155e-05,3.38375122660982e-06,1.663074425906708e-05,1.7530054304212667e-05,1.1834899766852474e-05,1.5721169340575553e-05,1.3671124022728245e-05,1.851032287051356e-05,2.221652567717679e-05,2.0139401273908675e-05,1.711522827435711e-05,2.593659475205426e-05,1.638466831969765e-05,2.0317357118186065e-05,2.3984122510897785e-05,1.5148359243339455e-05,1.4503936368330365e-05,1.532698591756534e-05,1.1260722319033154e-05,5.542407732767269e-06,7.722623941678744e-06,5.450348686057191e-06,8.115851068722321e-06,1.580780519163451e-05,2.675741891247816e-05,1.0181830523430935e-05,1.0155703866445724e-05,2.1439291074108483e-05,1.289431268708266e-05,1.1320477044902672e-05,1.0888640063299294e-05,7.53490071826441e-06,1.960564143420614e-05,2.2258908200552763e-05,2.5549049064393823e-05,2.130477546542057e-05,2012-03 - 2017-02,582,367,338,13,19,change
jface,9.816047274083672e-06,1.8207805686297714e-05,8.220439300276207e-06,8.031999485952032e-06,0.0,8.301924386072691e-06,7.472277849179544e-06,0.0,1.2646861681273793e-05,1.2049862330322875e-05,5.388860148301431e-06,1.5751338863803424e-05,2.437336089148005e-05,1.4239469912000076e-05,1.8211121531919543e-05,1.8100448438610067e-05,2.793491165584189e-05,5.233410090014654e-05,2.1303973617159072e-05,2.429553083710252e-05,4.243139614722923e-05,3.7703836365350174e-05,7.176484096911241e-05,3.952029546809994e-05,3.384747650138944e-05,3.0453761039488378e-05,3.658763736994758e-05,1.168670286947511e-05,1.859769963362532e-05,1.1790877005431664e-05,1.879779553125133e-05,1.5144809621329278e-05,1.708963513628984e-05,1.6477691951379822e-05,1.54037054469214e-05,1.296829737602713e-05,9.102593510943138e-06,7.814368122379256e-06,1.049305359851778e-05,1.893544905417432e-06,5.801574547332146e-06,3.065397183513068e-06,2.815180579758289e-06,1.3856019331918173e-05,5.148415961119163e-06,1.6351046058171572e-05,2.705283689574108e-06,3.5128455981410023e-06,6.689354728119539e-06,8.484858769525781e-06,5.077851933222862e-06,1.7866075895090402e-06,1.8420446695832373e-06,5.660238522451336e-06,5.444320031649647e-06,1.8837251795661024e-06,3.564662078946571e-06,5.564727050138191e-06,3.4065398752525097e-06,3.550795910903429e-06,2012-03 - 2017-02,315,295,243,7,23,buzz
aeq,9.816047274083672e-06,0.0,0.0,1.6063998971904064e-05,1.6609778176412454e-05,2.4905773158218074e-05,2.241683354753863e-05,6.935341808321023e-06,2.5293723362547585e-05,2.409972466064575e-05,3.772202103811002e-05,7.875669431901712e-05,4.87467217829601e-05,9.018330944266714e-05,8.650282727661783e-05,9.050224219305032e-05,0.0001396745582792,9.991055626391613e-05,0.0001235630469795,0.0001376746747435,0.0001465811866904,0.0001508153454614,0.000118411987599,0.0001652666901393,0.0001590831395565,0.0001590363076506,0.0001430244006279,0.0001499793534915,0.000170760696636,0.0001670374242436,0.0001247490067073,0.0001144274504722,0.0001093736648722,8.05576050956347e-05,8.215309571691413e-05,8.267289577217295e-05,5.27950423634702e-05,6.720356585246161e-05,7.345137518962447e-05,4.16579879191835e-05,2.0305510915662512e-05,2.758857465161761e-05,1.4075902898791443e-05,1.939842706468544e-05,1.2871039902797906e-05,8.175523029085786e-06,1.0821134758296427e-05,1.756422799070501e-05,1.5051048138268962e-05,2.8848519816387656e-05,1.861879042181716e-05,2.322589866361752e-05,1.289431268708266e-05,2.6414446438106235e-05,1.996250678271537e-05,1.506980143652882e-05,1.4258648315786284e-05,5.564727050138191e-06,2.043923925151506e-05,1.0652387732710289e-05,2012-03 - 2017-02,4107,4005,538,7,25,buzz
